t,delta,EmergR
4.52,-10.5767999999999,-1.70409954677796
4.54,-10.6235999999999,-1.73305856480507
4.56,-10.6703999999999,-1.76252313354206
4.58,-10.7171999999999,-1.79248544889049
4.6,-10.7639999999999,-1.82293583052029
4.62,-10.8107999999999,-1.8538627349018
4.64,-10.8575999999999,-1.88525277371845
4.66,-10.9043999999999,-1.91709073761416
4.68,-10.9511999999999,-1.94935962521563
4.7,-10.9979999999999,-1.98204067735547
4.72,-11.0447999999999,-2.01511341640898
4.74,-11.0915999999999,-2.04855569064322
4.76,-11.1383999999999,-2.08234372346462
4.78,-11.1851999999999,-2.09743197883762
4.8,-11.2319999999999,-2.11469866053227
4.82,-11.2787999999999,-2.14944250821817
4.84,-11.3255999999999,-2.18443105028006
4.86,-11.3723999999999,-2.21963548784973
4.88,-11.4191999999999,-2.25502356561885
4.9,-11.4659999999999,-2.29056186937082
4.92,-11.5127999999999,-2.32621590883217
4.94,-11.5595999999999,-2.36195020385759
4.96,-11.6063999999999,-2.39772837372281
4.98,-11.6531999999999,-2.43351322929125
5,-11.6999999999999,-2.46926686781229
5.02,-11.7467999999999,-2.50495077010199
5.04,-11.7935999999999,-2.54052589985028
5.06,-11.8403999999999,-2.57595280479316
5.08,-11.8871999999999,-2.6111917194825
5.1,-11.9339999999999,-2.64620266938208
5.12,-11.9807999999999,-2.68094557601443
5.14,-12.0275999999999,-2.71538036287958
5.16,-12.0743999999999,-2.74946706186493
5.18,-12.1211999999999,-2.78316591986321
5.2,-12.1679999999999,-2.81643750531475
5.22,-12.2147999999999,-2.84924281439009
5.24,-12.2615999999999,-2.88154337652919
5.26,-12.3083999999999,-2.91330135905491
5.28,-12.3551999999999,-2.94447967058029
5.3,-12.4019999999999,-2.97504206293186
5.32,-12.4487999999999,-3.00495323131445
5.34,-12.4955999999999,-3.03417891244741
5.36,-12.5423999999999,-3.0629982886032
5.38,-12.5891999999999,-3.09260752861652
5.4,-12.6359999999999,-3.12154346686777
5.42,-12.6827999999999,-3.14977873159861
5.44,-12.7295999999999,-3.17728741173422
5.46,-12.7763999999999,-3.20404513684224
5.48,-12.8231999999999,-3.24631858773748
5.5,-12.8699999999999,-3.29057765628337
5.52,-12.9167999999999,-3.3152124077105
5.54,-12.9635999999999,-3.33900501243115
5.56,-13.0103999999999,-3.36193981944788
5.58,-13.0571999999999,-3.3840031158386
5.6,-13.1039999999999,-3.40518317644891
5.62,-13.1507999999999,-3.42546771094016
5.64,-13.1975999999999,-3.44484775910091
