Time,AngleX
38.1,34.04628347
38.2,34.20176037
38.3,34.34355701
38.4,34.47161669
38.5,34.58588819
38.6,34.68632578
38.7,34.77288932
38.8,34.84554416
38.9,34.90426124
39,34.94901709
39.1,34.97979379
39.2,34.99657905
39.3,34.99936614
39.4,34.98815395
39.5,34.96294696
39.6,34.92375527
39.7,34.87059453
39.8,34.80348603
39.9,34.72245659
40,34.62753863
40.1,34.51877012
40.2,34.39619456
40.3,34.25986098
40.4,34.10982392
40.5,33.94614338
40.6,33.76888483
40.7,33.57811919
40.8,33.37392274
40.9,33.15637717
41,32.92556948
41.1,32.68159201
41.2,32.42454234
41.3,32.15452329
41.4,31.87164285
41.5,31.57601418
41.6,31.26775553
41.7,30.94699019
41.8,30.61384647
41.9,30.26845762
42,29.91096178
42.1,29.54150197
42.2,29.16022594
42.3,28.76728621
42.4,28.36283996
42.5,27.94704894
42.6,27.52007948
42.7,27.08210235
42.8,26.63329275
42.9,26.17383018
43,25.70389843
43.1,25.22368546
43.2,24.73338335
43.3,24.23318822
43.4,23.72330014
43.5,23.20392305
43.6,22.67526471
43.7,22.13753656
43.8,21.59095369
43.9,21.03573473
44,20.47210175
44.1,19.90028021
44.2,19.32049882
44.3,18.73298949
44.4,18.13798721
44.5,17.53572998
44.6,16.92645869
44.7,16.31041704
44.8,15.68785144
44.9,15.05901091
45,14.42414698
45.1,13.78351359
45.2,13.13736697
45.3,12.48596557
45.4,11.82956996
45.5,11.16844268
45.6,10.50284817
45.7,9.833052664
45.8,9.159324065
45.9,8.481931859
46,7.801146994
46.1,7.117241773
46.2,6.430489751
46.3,5.741165618
46.4,5.049545096
46.5,4.355904823
46.6,3.660522246
46.7,2.963675509
46.8,2.265643341
46.9,1.566704947
47,0.867139891
47.1,0.167227991
47.2,-0.532750799
47.3,-1.232516494
47.4,-1.9317892
47.5,-2.630289216
47.6,-3.327737151
47.7,-4.023854036
47.8,-4.718361433
47.9,-5.410981548
48,-6.101437343
48.1,-6.789452644
48.2,-7.474752254
48.3,-8.157062064
48.4,-8.836109157
48.5,-9.511621924
48.6,-10.18333017
48.7,-10.85096522
48.8,-11.51426003
48.9,-12.17294928
49,-12.82676952
49.1,-13.47545923
49.2,-14.11875893
49.3,-14.75641131
49.4,-15.38816133
49.5,-16.01375628
49.6,-16.63294595
49.7,-17.24548266
49.8,-17.85112141
49.9,-18.44961995
50,-19.04073888
50.1,-19.62424177
50.2,-20.19989523
50.3,-20.767469
50.4,-21.32673606
50.5,-21.87747271
50.6,-22.41945866
50.7,-22.95247713
50.8,-23.47631491
50.9,-23.99076248
51,-24.49561407
51.1,-24.99066773
51.2,-25.47572546
51.3,-25.95059324
51.4,-26.41508113
51.5,-26.86900334
51.6,-27.31217831
51.7,-27.74442877
51.8,-28.16558182
51.9,-28.57546902
52,-28.97392642
52.1,-29.36079463
52.2,-29.73591891
52.3,-30.09914922
52.4,-30.45034028
52.5,-30.7893516
52.6,-31.11604759
52.7,-31.43029758
52.8,-31.73197587
52.9,-32.02096179
53,-32.29713976
53.1,-32.5603993
53.2,-32.81063511
53.3,-33.04774711
53.4,-33.27164044
53.5,-33.48222557
53.6,-33.67941825
53.7,-33.86313962
53.8,-34.03331617
53.9,-34.18987986
54,-34.33276805
54.1,-34.46192359
54.2,-34.57729482
54.3,-34.6788356
54.4,-34.7665053
54.5,-34.84026887
54.6,-34.90009679
54.7,-34.94596513
54.8,-34.97785556
54.9,-34.99575531
55,-34.99965723
55.1,-34.98955975
55.2,-34.96546691
55.3,-34.92738835
55.4,-34.87533931
55.5,-34.80934059
55.6,-34.7294186
55.7,-34.6356053
55.8,-34.52793823
55.9,-34.40646044
56,-34.27122052
56.1,-34.12227257
56.2,-33.95967617
56.3,-33.78349635
56.4,-33.59380359
56.5,-33.39067375
56.6,-33.17418808
56.7,-32.94443318
56.8,-32.70150095
56.9,-32.44548856
57,-32.1764984
57.1,-31.89463807
57.2,-31.60002031
57.3,-31.29276296
57.4,-30.97298893
57.5,-30.64082611
57.6,-30.29640738
57.7,-29.93987048
57.8,-29.57135803
57.9,-29.19101744
58,-28.79900082
58.1,-28.39546499
58.2,-27.98057136
58.3,-27.55448587
58.4,-27.11737895
58.5,-26.66942544
58.6,-26.21080451
58.7,-25.74169962
58.8,-25.26229838
58.9,-24.77279257
59,-24.27337797
59.1,-23.76425434
59.2,-23.24562532
59.3,-22.71769837
59.4,-22.18068464
59.5,-21.63479893
59.6,-21.08025959
59.7,-20.51728842
59.8,-19.94611062
59.9,-19.36695464
60,-18.78005213
60.1,-18.18563785
60.2,-17.58394956
60.3,-16.97522793
60.4,-16.35971643
60.5,-15.73766126
60.6,-15.10931124
60.7,-14.47491769
60.8,-13.83473437
60.9,-13.18901734
61,-12.53802488
61.1,-11.88201737
61.2,-11.22125722
61.3,-10.55600872
61.4,-9.886537949
61.5,-9.213112698
61.6,-8.536002324
61.7,-7.855477663
61.8,-7.171810916
61.9,-6.48527554
62,-5.796146141
62.1,-5.10469836
62.2,-4.411208768
62.3,-3.715954751
62.4,-3.019214402
62.5,-2.321266407
62.6,-1.622389937
62.7,-0.922864532
62.8,-0.222969994
62.9,0.477013729
63,1.176806653
63.1,1.87612887
63.2,2.57470066
63.3,3.272242605
63.4,3.968475696
63.5,4.66312145
63.6,5.355902017
63.7,6.046540295
63.8,6.734760038
63.9,7.420285966
64,8.102843879
64.1,8.782160762
64.2,9.457964898
64.3,10.12998597
64.4,10.79795519
64.5,11.46160537
64.6,12.12067106
64.7,12.77488864
64.8,13.42399644
64.9,14.06773482
65,14.70584629
65.1,15.33807562
65.2,15.96416992
65.3,16.58387877
65.4,17.19695429
65.5,17.80315125
65.6,18.4022272
65.7,18.99394249
65.8,19.57806047
65.9,20.15434748
66,20.72257301
66.1,21.2825098
66.2,21.83393387
66.3,22.37662465
66.4,22.91036508
66.5,23.43494168
66.6,23.9501446
66.7,24.45576779
66.8,24.951609
66.9,25.4374699
67,25.91315615
67.1,26.37847748
67.2,26.83324777
67.3,27.27728512
67.4,27.71041192
67.5,28.13245493
67.6,28.54324533
67.7,28.94261881
67.8,29.33041563
67.9,29.70648067
68,30.07066352
68.1,30.4228185
68.2,30.76280477
68.3,31.09048632
68.4,31.40573208
68.5,31.70841598
68.6,31.99841693
68.7,32.27561895
68.8,32.53991114
68.9,32.7911878
69,33.02934843
69.1,33.25429776
69.2,33.46594581
69.3,33.66420793
69.4,33.84900481
69.5,34.02026255
69.6,34.17791263
69.7,34.32189201
69.8,34.45214308
69.9,34.56861376
70,34.67125745
70.1,34.7600331
70.2,34.8349052
70.3,34.89584381
70.4,34.94282454
70.5,34.97582861
70.6,34.99484281
70.7,34.99985954
70.8,34.9908768
70.9,34.96789817
71,34.93093285
71.1,34.87999562
71.2,34.81510685
71.3,34.73629251
71.4,34.64358412
71.5,34.53701875
71.6,34.41663904
71.7,34.28249313
71.8,34.13463467
71.9,33.97312282
72,33.79802218
72.1,33.60940278
72.2,33.40734006
72.3,33.19191485
72.4,32.96321332
72.5,32.72132694
72.6,32.46635247
72.7,32.19839189
72.8,31.91755239
72.9,31.62394628
73,31.31769102
73.1,30.99890911
73.2,30.66772804
73.3,30.32428029
73.4,29.96870323
73.5,29.60113909
73.6,29.22173489
73.7,28.83064238
73.8,28.42801801
73.9,28.0140228
74,27.58882236
74.1,27.15258676
74.2,26.70549048
74.3,26.24771236
74.4,25.77943551
74.5,25.30084723
74.6,24.81213895
74.7,24.31350614
74.8,23.80514826
74.9,23.28726863
75,22.76007441
75.1,22.22377645
75.2,21.67858929
75.3,21.12473098
75.4,20.56242306
75.5,19.99189044
75.6,19.41336133
75.7,18.82706714
75.8,18.23324237
75.9,17.63212455
76,17.02395411
76.1,16.40897432
76.2,15.78743116
76.3,15.15957323
76.4,14.52565168
76.5,13.88592006
76.6,13.24063426
76.7,12.59005238
76.8,11.93443465
76.9,11.2740433
77,10.60914249
77.1,9.939998157
77.2,9.266877961
77.3,8.590051137
77.4,7.909788407
77.5,7.226361868
77.6,6.54004488
77.7,5.851111961
77.8,5.159838676
77.9,4.466501524
78,3.77137783
78.1,3.074745636
78.2,2.376883585
78.3,1.678070812
