Omega,Zeta_a,Wavenum,Phase,Psi
1.477194852,0.269136154,0.222436762,2.836385839,-3.068369201
1.517855757,0.256045283,0.234850775,0.275802463,-2.840979427
1.464224727,0.231144966,0.218547814,0.170809165,-2.791528643
1.479655157,0.19687262,0.223178327,1.9646581,-2.534944059
1.408325006,0.156583061,0.20217934,0.08081794,-2.410132724
1.505096101,0.114220112,0.230918886,2.412537626,-2.216207823
1.408733964,0.073930552,0.202296777,4.292144212,-2.122437453
1.35707408,0.039658206,0.187731912,0.583346391,-1.886110811
1.475366337,0.01475789,0.221886425,0.222037238,-1.826313691
1.518415079,0.001667018,0.235023889,3.847794291,-1.644407248
1.554071361,0.001425156,0.246191416,3.823571856,1.599277429
1.600659967,0.012616716,0.26117353,0.099021856,1.806721191
1.542797532,0.033904329,0.242632439,0.102761078,1.951273801
1.60669063,0.063204214,0.263145238,1.194273865,2.145774918
1.68194631,0.097648294,0.288373434,3.687717519,2.304932025
1.596219391,0.133864944,0.259726437,0.361792658,2.506571564
1.571296047,0.168309024,0.251679028,2.309498101,2.543412324
1.589534926,0.197608909,0.257555686,3.967524681,2.687823593
1.659295525,0.218896522,0.280658679,4.509030053,2.916191843
1.642753523,0.230088082,0.275090636,4.352170164,3.136749303
1.694627684,0.230088082,0.292738327,0.528284319,-3.137862975
1.675420181,0.218896522,0.286139937,2.854797601,-2.847819839
1.610286661,0.197608909,0.264324478,2.776089063,-2.823211623
1.638989641,0.168309024,0.273831503,2.219538069,-2.58874638
1.53636229,0.133864944,0.240612547,0.96513724,-2.483069057
1.623249686,0.097648294,0.268597303,4.245200535,-2.243774318
1.607728165,0.063204214,0.263485204,4.393286907,-2.159739269
1.680857428,0.033904329,0.288000173,4.571074672,-1.895344083
1.679441033,0.012616716,0.287515003,3.005777714,-1.863405945
1.610695574,0.001425156,0.264458739,3.486175016,-1.645939714
1.846704348,0.001184795,0.347636794,0.760561442,1.71141428
1.82319765,0.010488829,0.338842984,2.832170539,1.875905803
1.705443173,0.028186155,0.296486893,4.498025222,1.937590366
1.728995652,0.052544433,0.304732514,5.609889274,2.110736174
1.79427572,0.081179307,0.328177916,1.715953428,2.273123855
1.712317564,0.111287795,0.2988819,1.600762695,2.379648103
1.746265193,0.139922669,0.310850369,5.438747053,2.534615652
1.764297423,0.164280948,0.317303302,1.459900435,2.753998382
1.866908271,0.181978273,0.355285066,5.057158317,2.941440106
1.761756777,0.191282308,0.316390106,5.707630098,3.04714115
1.750616784,0.191282308,0.312401542,1.457034972,-3.085292405
1.783166039,0.181978273,0.324126516,1.503645189,-2.939701436
1.856660117,0.164280948,0.351395188,0.312616643,-2.690988483
1.738555398,0.139922669,0.308111608,0.492501667,-2.571957083
1.796664131,0.111287795,0.329052192,4.026361968,-2.475390865
1.786621887,0.081179307,0.325384074,1.199375694,-2.202557783
1.763884794,0.052544433,0.3171549,5.302188437,-2.09850523
1.773667151,0.028186155,0.320682483,1.092647486,-2.005930684
1.864576523,0.010488829,0.354398125,1.073122898,-1.777931716
1.842097224,0.001184795,0.345904402,6.247342817,-1.623288663
2.043608954,0.000979103,0.425722483,2.763287451,1.591957777
1.967068971,0.00866787,0.394430208,2.136584276,1.731409198
2.028428052,0.023292775,0.419421036,1.974285589,1.926141785
1.90902506,0.043422228,0.371496094,2.293855157,2.060337383
1.896680678,0.06708582,0.366707196,2.47079697,2.210003341
1.952301404,0.091967193,0.38853015,3.716662469,2.490172499
1.952010279,0.115630785,0.388414284,0.752390184,2.541600399
1.97184709,0.135760239,0.39634872,0.239570296,2.675446052
2.058992507,0.150385143,0.432155978,2.881455931,2.942718255
1.946362256,0.15807391,0.38616983,5.465537755,3.068788886
1.930318261,0.15807391,0.379829622,5.869981169,-3.098234015
1.989954246,0.150385143,0.403661356,1.661583115,-2.92663575
1.978970642,0.135760239,0.399217615,1.007196736,-2.825409212
1.914292511,0.115630785,0.373549013,5.484311326,-2.53067759
1.972273584,0.091967193,0.396520193,1.494646054,-2.377239925
1.97400821,0.06708582,0.397217983,4.057877421,-2.316257475
2.03632544,0.043422228,0.422693303,6.075132837,-2.109661055
2.029683957,0.023292775,0.419940567,4.177886021,-2.017017966
2.038944902,0.00866787,0.42378148,5.468765274,-1.791593048
1.994418399,0.000979103,0.40547449,0.062375095,-1.67586688
2.16603485,0.000811795,0.478257592,0.860858539,1.674250961
2.174322938,0.007186713,0.481924591,5.144394579,1.863535305
2.082961474,0.019312528,0.442276096,2.702812999,1.974117654
2.092895979,0.036002281,0.446504952,5.594056373,2.196048863
2.138733422,0.055622262,0.466277334,4.617564478,2.323495475
2.165079821,0.07625193,0.477835946,4.318581492,2.38016384
2.112708007,0.095871911,0.454998483,2.17468563,2.644125735
2.205264151,0.112561664,0.49573802,1.043227031,2.700491567
2.134105573,0.124687479,0.464261631,0.977742653,2.927805164
2.070037339,0.131062397,0.436804749,1.2008192,3.089599308
2.169584215,0.131062397,0.479826266,2.65434122,-3.020313386
2.164747365,0.124687479,0.47768921,5.378253987,-2.924851388
2.100503957,0.112561664,0.449757072,3.080331515,-2.758069302
2.080169112,0.095871911,0.441091084,5.126669352,-2.594474869
2.232008205,0.07625193,0.507834926,2.895102235,-2.41775311
2.111038956,0.055622262,0.454279865,2.873642322,-2.328549159
2.101127935,0.036002281,0.450024322,2.831761759,-2.198796683
2.073309051,0.019312528,0.438186587,2.590048748,-1.917907129
2.17329293,0.007186713,0.48146811,5.664981604,-1.804278157
2.162555469,0.000811795,0.47672234,0.035084925,-1.694381967
2.261199449,0.000677884,0.521205193,1.868654992,1.587046183
2.358347944,0.006001219,0.566952602,0.308897029,1.752590345
2.32351265,0.016126802,0.550327323,4.355381239,1.948967896
2.255911614,0.030063473,0.518770358,4.084739043,2.106085548
2.3111876,0.046447011,0.544504396,6.176294389,2.207391806
2.288713569,0.063673683,0.533966341,3.472548403,2.504134468
2.410027977,0.080057222,0.592072869,2.513736037,2.53683162
2.357002201,0.093993892,0.566305747,1.249025107,2.73073109
2.401668375,0.104119476,0.587972578,3.928253881,2.876294352
2.359187877,0.10944281,0.567356518,4.607854382,3.010986349
2.387321504,0.10944281,0.580968804,2.361758136,-3.000747492
2.322090444,0.104119476,0.549653826,0.062055647,-2.933819586
2.420128639,0.093993892,0.597046139,2.6380444,-2.712137516
2.261221056,0.080057222,0.521215154,4.735445919,-2.605809078
2.338688171,0.063673683,0.557539487,4.988043471,-2.450474652
2.341948862,0.046447011,0.559095257,5.780261604,-2.276787248
2.295039845,0.030063473,0.536922313,5.307541729,-2.172520355
2.31056109,0.016126802,0.544209231,2.310659508,-1.959608396
2.255608341,0.006001219,0.518630886,3.900609807,-1.784235713
2.341798647,0.000677884,0.559023538,4.594750564,-1.725331665
2.57366013,0.000570887,0.675201474,1.21826678,1.702248662
2.449602476,0.005053984,0.611677094,5.685103564,1.854083505
2.454305577,0.013581342,0.614028121,3.576425203,1.994563377
2.435730134,0.025318243,0.604768735,3.969653201,2.114588388
2.571440537,0.039115797,0.674037353,1.472860037,2.212091617
2.447564707,0.053623404,0.610659836,3.448099788,2.485112416
2.582350796,0.067420959,0.679769178,5.853310833,2.543593636
2.515919775,0.07915786,0.645244884,2.106107568,2.740309913
2.59650579,0.087685218,0.687241827,4.118823093,2.829468799
2.445145485,0.092168315,0.609453256,2.462406755,3.033010069
2.432183312,0.092168315,0.603008732,3.941535059,-3.004092843
2.491759061,0.087685218,0.632911643,4.39245005,-2.853310781
2.497618439,0.07915786,0.63589173,2.495580383,-2.775110937
2.49557193,0.067420959,0.634850077,2.598906998,-2.532012886
