t,rpm,PE,uF,EmergP
2.86,126.060355799384,6943.24733372366,0.95154972334773,0.738387181191665
2.88,126.058465312685,6943.03908398131,0.951535453261914,0.693827386405603
2.9,126.056629106729,6942.83681661538,0.951521592907021,0.648852302611009
2.92,126.054845144854,6942.64030702068,0.951508126909575,0.603517016725799
2.94,126.053111467466,6942.4493391015,0.951495040477858,0.557875382219402
2.96,126.051426189116,6942.26370494745,0.951482319379796,0.511979926136502
2.98,126.049787495676,6942.08320452178,0.951469949921697,0.465881759634225
3,126.048193641635,6941.90764536156,0.951457918927791,0.419630492234674
3.02,126.046642947484,6941.73684228934,0.951446213720548,0.374299752214308
3.04,126.045133797049,6941.57061711715,0.951434822100476,0.337774533655076
3.06,126.043664634324,6941.40879829778,0.951423732322284,0.301241758287768
3.08,126.042233961722,6941.25122073045,0.951412933081636,0.26482500873004
3.1,126.040840338225,6941.09772555638,0.951402413501196,0.228584810475794
3.12,126.039482377228,6940.94815992053,0.951392163114362,0.192559176913939
3.14,126.038158744469,6940.80237674302,0.951382171849647,0.157013612858849
3.16,126.036868156027,6940.66023449733,0.951372430015531,0.121752987212871
3.18,126.035609376416,6940.52159700035,0.951362928286113,0.0868056076029426
3.2,126.034381216758,6940.3863332104,0.95135365768732,0.0521976399177841
3.22,126.033182533019,6940.25431703198,0.951344609583552,0.0179508939043025
3.24,126.032012224235,6940.12542712025,0.951335775664328,-0.0159148745630464
3.26,126.030869228772,6939.99954646874,0.951327147916059,-0.0493759937391616
3.28,126.029752522267,6939.87656218161,0.95131871860647,-0.0824151459191307
3.3,126.028661118802,6939.75636560304,0.951310480293498,-0.115017268283568
3.32,126.027594069643,6939.6388521774,0.951302425815736,-0.147169559110118
3.34,126.026550461827,6939.52392129403,0.95129454828182,-0.178861478526825
3.36,126.025529416817,6939.41147613788,0.951286841060218,-0.210084743768165
3.38,126.024530089193,6939.30142354591,0.951279297769407,-0.240833318955613
3.4,126.023551665408,6939.19367386882,0.951271912268418,-0.271103399437798
3.42,126.022593362575,6939.08814083817,0.951264678647749,-0.300893390738882
3.44,126.021654427315,6938.98474143835,0.951257591220607,-0.33020388217685
3.46,126.020734134636,6938.88339578364,0.951250644514498,-0.359037615226817
3.48,126.019831786865,6938.78402699973,0.951243833263122,-0.387399446717101
3.5,126.018946712612,6938.68656110984,0.951237152398583,-0.415296306958937
3.52,126.018078265778,6938.59092692513,0.951230597043892,-0.442737152922948
3.54,126.017225824599,6938.49705593926,0.951224162505751,-0.469732916588057
3.56,126.016388790729,6938.40488222697,0.95121784426761,-0.496296448600325
3.58,126.015566588349,6938.31434234645,0.951211637982997,-0.522442457390982
3.6,126.014758663324,6938.22537524546,0.95120553946908,-0.548187443914212
3.62,126.013964482377,6938.137922171,0.951199544700498,-0.573563800921875
3.64,126.013183532305,6938.05192658238,0.951193649803399,-0.598612391987907
3.66,126.012415319217,6937.96733406759,0.951187851049728,-0.623316405195596
3.68,126.01165936781,6937.88409226283,0.951182144851712,-0.647698765714229
3.7,126.010915220662,6937.80215077512,0.951176527756562,-0.671783806577486
3.72,126.010182437557,6937.7214611078,0.951170996441378,-0.695597181100807
3.74,126.00946059484,6937.64197658885,0.951165547708242,-0.719165954683281
3.76,126.008749284785,6937.56365230197,0.951160178479493,-0.74252448223324
3.78,126.008048114996,6937.48644502022,0.951154885793192,-0.76569539350015
3.8,126.007356707831,6937.41031314218,0.951149666798748,-0.788708690776769
3.82,126.006674699841,6937.33521663054,0.951144518752712,-0.811595218906611
3.84,126.006001741233,6937.26111695302,0.951139439014735,-0.834386563502147
3.86,126.00533749536,6937.18797702547,0.95113442504367,-0.857114947688868
3.88,126.00468163822,6937.1157611572,0.95112947439383,-0.879813127642426
3.9,126.004033857979,6937.04443499835,0.951124584711381,-0.902514287189029
3.92,126.003393854513,6936.97396548918,0.951119753730876,-0.925251931741716
3.94,126.002761338964,6936.90432081141,0.951114979271915,-0.94805978184678
3.96,126.002136033317,6936.83547034127,0.951110259235935,-0.970971666615772
3.98,126.00151766999,6936.76738460443,0.951105591603122,-0.99402141731855
4,126.000905991437,6936.70003523256,0.951100974429436,-1.01724276141274
4.02,126.000300749774,6936.63339492155,0.951096405843751,-1.04066921728367
4.04,125.999701706411,6936.56743739136,0.951091884045102,-1.06433398996713
4.06,125.999108631701,6936.5021373473,0.951087407300036,-1.08826986812483
4.08,125.998521304606,6936.43747044284,0.951082973940064,-1.11250912253919
4.1,125.997939512366,6936.37341324381,0.951078582359208,-1.1370834063902
4.12,125.997363050191,6936.30994319396,0.951074231011643,-1.16202365757278
4.14,125.996791720962,6936.24703858176,0.951069918409423,-1.18736000330736
4.16,125.996225334934,6936.18467850855,0.9510656431203,-1.2131233809054
4.18,125.995663709465,6936.12284285784,0.951061403765617,-1.23935543418627
4.2,125.995106668744,6936.06151226576,0.951057199018293,-1.26608428424834
4.22,125.994554043535,6936.00066809268,0.951053027600866,-1.2933337651525
4.24,125.994005670927,6935.94029239579,0.951048888283627,-1.32113050469094
4.26,125.993461394096,6935.8803679029,0.951044779882816,-1.34949466351919
4.28,125.992921062076,6935.82087798703,0.951040701258888,-1.37844322003183
4.3,125.992384529539,6935.76180664209,0.951036651314842,-1.40799455481243
4.32,125.991851656578,6935.70313845945,0.951032628994619,-1.43816551490225
4.34,125.991322308507,6935.64485860536,0.951028633281554,-1.46657660783073
4.36,125.990796355661,6935.58695279924,0.951024663196889,-1.49094354215084
4.38,125.990273673207,6935.52940729286,0.951020717798344,-1.51580236347591
4.4,125.989754140963,6935.47220885015,0.951016796178738,-1.54116184787422
4.42,125.989237643222,6935.41534472797,0.95101289746467,-1.56702902060745
4.44,125.988724068581,6935.3588026574,0.951009020815235,-1.59340912100084
4.46,125.988213309783,6935.30257082592,0.951005165420805,-1.62030557247252
4.48,125.987705263554,6935.24663786014,0.951001330501847,-1.64771995780255
4.5,125.98719983046,6935.19099280924,0.950997515307784,-1.67565199970809
4.52,125.986696914756,6935.13562512902,0.950993719115908,-1.70409954677796
4.54,125.986196424252,6935.08052466651,0.950989941230321,-1.73305856480507
4.56,125.985698270173,6935.0256816453,0.95098618098093,-1.76252313354206
4.58,125.985202367035,6934.97108665123,0.950982437722471,-1.79248544889049
4.6,125.98470863252,6934.91673061874,0.950978710833568,-1.82293583052029
4.62,125.984216987355,6934.86260481777,0.950974999715839,-1.8538627349018
4.64,125.983727355195,6934.80870084102,0.95097130379302,-1.88525277371845
4.66,125.983239662521,6934.7550105918,0.950967622510138,-1.91709073761416
4.68,125.982753838521,6934.70152627234,0.950963955332702,-1.94935962521563
4.7,125.982269815,6934.64824037243,0.950960301745933,-1.98204067735547
4.72,125.981787526271,6934.59514565865,0.95095666125402,-2.01511341640898
4.74,125.98130690907,6934.54223516387,0.950953033379402,-2.04855569064322
4.76,125.980827902455,6934.48950217723,0.950949417662081,-2.08234372346462
4.78,125.980350447725,6934.43694023442,0.95094581365896,-2.09743197883762
4.8,125.979874488335,6934.38454310845,0.950942220943204,-2.11469866053227
4.82,125.979399969809,6934.33230480063,0.950938639103626,-2.14944250821817
4.84,125.97892683967,6934.28021953198,0.950935067744097,-2.18443105028006
4.86,125.978455047359,6934.22828173493,0.95093150648298,-2.21963548784973
4.88,125.977984544163,6934.17648604535,0.950927954952579,-2.25502356561885
4.9,125.977515283148,6934.12482729486,0.950924412798616,-2.29056186937082
4.92,125.97704721909,6934.07330050346,0.950920879679722,-2.32621590883217
4.94,125.976580308411,6934.02190087241,0.950917355266954,-2.36195020385759
4.96,125.976114509116,6933.97062377738,0.950913839243322,-2.39772837372281
4.98,125.975649780735,6933.91946476189,0.95091033130334,-2.43351322929125
5,125.975186084264,6933.86841953094,0.950906831152592,-2.46926686781229
5.02,125.97472338211,6933.81748394497,0.950903338507313,-2.50495077010199
5.04,125.974261638038,6933.76665401393,0.950899853093988,-2.54052589985028
5.06,125.97380081712,6933.7159258917,0.950896374648966,-2.57595280479316
5.08,125.973340885685,6933.6652958706,0.950892902918085,-2.6111917194825
5.1,125.972881811271,6933.61476037622,0.950889437656318,-2.64620266938208
5.12,125.972423562582,6933.56431596234,0.950885978627424,-2.68094557601443
5.14,125.971966109442,6933.51395930613,0.95088252560362,-2.71538036287958
5.16,125.971509422751,6933.46368720347,0.950879078365259,-2.74946706186493
5.18,125.971053474449,6933.4134965645,0.950875636700526,-2.78316591986321
5.2,125.970598237472,6933.36338440925,0.950872200405139,-2.81643750531475
